time_h,Gas_profileA
16.6,0.631838695
16.65,0.631750965
16.7,0.631663235
16.75,0.631959623
16.8,0.63225601
16.85,0.631268052
16.9,0.631479999
16.95,0.632520994
17,0.634291643
17.05,0.636062291
17.1,0.635665214
17.15,0.635268136
17.2,0.635875666
17.25,0.637077067
17.3,0.638278468
17.35,0.635384977
17.4,0.636389683
17.45,0.638192333
17.5,0.634716834
17.55,0.63643634
17.6,0.63641042
17.65,0.636384499
17.7,0.638118561
17.75,0.635215299
17.8,0.632312038
17.85,0.632284323
17.9,0.632256608
17.95,0.631849262
18,0.631441917
18.05,0.631694738
18.1,0.631600229
18.15,0.635255675
18.2,0.63891112
18.25,0.643646342
18.3,0.647701457
18.35,0.645705303
18.4,0.643709148
18.45,0.640069155
18.5,0.637190418
18.55,0.634311681
18.6,0.63282107
18.65,0.627664746
18.7,0.625400018
18.75,0.623135291
18.8,0.626764318
18.85,0.627159701
18.9,0.630354465
18.95,0.633549229
19,0.651644916
19.05,0.669740603
19.1,0.67950813
19.15,0.685285742
19.2,0.68919371
19.25,0.683603521
19.3,0.676078689
19.35,0.664397852
19.4,0.652717015
19.45,0.635423658
19.5,0.617409121
19.55,0.599394584
19.6,0.596339191
19.65,0.585475039
19.7,0.583554951
19.75,0.581634863
19.8,0.577139503
19.85,0.573433513
19.9,0.566117238
19.95,0.566566056
20,0.568927985
20.05,0.574207231
20.1,0.579486477
20.15,0.585643521
20.2,0.587561516
20.25,0.58947951
20.3,0.587542674
20.35,0.583044921
20.4,0.576453814
20.45,0.56718515
20.5,0.563458723
20.55,0.559732296
20.6,0.560248308
20.65,0.564003546
20.7,0.563959781
20.75,0.563916015
20.8,0.56155967
20.85,0.557643726
20.9,0.553727783
20.95,0.547803223
21,0.546412306
21.05,0.548766059
21.1,0.551119812
21.15,0.549631694
21.2,0.548143576
21.25,0.547630754
21.3,0.54793442
21.35,0.546132766
21.4,0.544918306
21.45,0.546140742
21.5,0.545223964
21.55,0.542998018
21.6,0.540772071
21.65,0.530811139
21.7,0.524267286
21.75,0.524725675
21.8,0.517853433
21.85,0.515274174
21.9,0.508541303
21.95,0.503329748
22,0.497851216
22.05,0.502264628
22.1,0.506977916
22.15,0.508393159
22.2,0.509808402
22.25,0.50827911
22.3,0.509402851
22.35,0.509473234
22.4,0.510649712
22.45,0.51182619
22.5,0.512734593
22.55,0.511014389
22.6,0.509294185
22.65,0.497182475
22.7,0.493082996
22.75,0.488983518
22.8,0.48872272
22.85,0.48810582
22.9,0.487488919
22.95,0.488101633
23,0.493195151
23.05,0.498288669
23.1,0.50073733
23.15,0.503490852
23.2,0.501791684
23.25,0.494233554
23.3,0.492317652
23.35,0.490680493
23.4,0.490835615
23.45,0.485313018
23.5,0.484489753
23.55,0.483666488
23.6,0.484928402
23.65,0.483878834
23.7,0.482330202
23.75,0.477659283
23.8,0.472988363
23.85,0.471228183
23.9,0.469468002
23.95,0.467124417
